主体,年代
Kneeling_Figure,Northern Wei dynasty (386-534 C.E.)
Chair,18th century
Bed_Spread,18th century
Inscribed_Oracle_Bone,12th-11th century B.C.E.
Drum-shaped_Stool,Daoguang period (1821-1850)
Wine_Jar_with_Lid_in_Form_of_the_Paradise_of_the_Immortals,Eastern Han dynasty (25-220 C.E.)
Kneeling_Figure,Northern Wei dynasty (386-534 C.E.)
"Miniature_Temples,_from_Zhihua_Temple,_Beijing,_China",1736-1796
Armchair,Wanli period 1572-1620
Head_of_a_Bodhisattva,450-499 C.E.
Guqin_(古琴_),1634
Archer's_Ring_(清___扳指),17th–19th century
Goqing,19th century
Liberty,ca. 1800
Pipa_(琵琶_),late 16th–early 17th century
Dung-Chen,1368–1644
Saddle_(清____馬鞍一套),17th–18th century
Sword_with_Scabbard_Mounts,ca. 600
Archer's_Ring_(清___扳指),17th–19th century
Archer's_Ring_(清___扳指),17th–19th century
Archer's_Ring_(清___扳指),17th–19th century
Imperial_Seal_of_the_Prince_of_the_D?rbed_(Four_Children)_Banner,dated 1686
Archer's_Ring_with_Taoist_Symbols_(清___扳指),19th century
Sword_with_Scabbard_Mounts,ca. 600
Sword,5th–4th century BCE
Ceremonial_Armor_for_a_High_Ranking_Official,18th century
Ceremonial_Helmet,mid-18th century
Imperial_Knife_with_Sheath,18th century
Imperial_Lapis_Lazuli_and_Jade-Hilted_Knife_with_Sheath,ca. 1736–95
Imperial_Saddle_and_Stirrups_with_Bridle,18th century
Pair_of_Dagger-Axes_(Ge),4th–3rd century BCE
Matchlock_Gun_with_Carved_Red_Lacquer_Stock,ca. 1750
Ceremonial_Saddle,17th–early 18th century
Swords_with_Scabbard_Mounts,ca. 600
Small_vase,ca. late 18th century
Small_wine_pot_or_teapot,1662–1722
Small_covered_winepot_or_teapot,1662–1722
Small_vase,1662–1722
Covered_wine_pot_or_teapot,1662–1722
Small_vase,18th century
Censer_with_elephant-shaped_handles,1644–1911
Censer,19th century
"Jar,_Jun_ware",ca. 13th century
Small_covered_wine_pot_or_teapot,1662–1722
Small_covered_winepot_or_teapot,1662–1722
Small_vase,probably 19th century
"Small_bowl,_Jun_ware",13th–14th century
Small_bottle-shaped_vase,probably 18th century
Small_vase,probably 19th century
Small_vase,probably late 18th century
Small_ewer,1662–1722
Small_covered_wine_pot_or_teapot,1662–1722
Small_vase,18th century
Tazza,1662–1722
"Pyriform_vase,_possibly_an_imitation_of_Song_Guan_ware",16th–17th century
Figure_of_lion_mounted_as_lamp,probably 19th century
Censer,ca. 18th century
Small_covered_vase,ca. late 18th century
Water_coupe,18th century
Fabric,18th–19th century
Small_vase,1662–1722
Bird-cage_cup,1662–1722
Small_vase,18th century
Small_covered_wine_pot_or_teapot,1662–1722
Small_vase,probably 19th century
"Deep_bowl,_Jun_ware",ca. 13th century
Small_wine_pot_or_teapot_with_a_lid,1662–1722
Bottom_of_a_vase,1662–1722
Large_dish,19th century
Small_covered_wine_pot_or_teapot,1662–1722
Small_covered_wine_pot_or_teapot,1662–1722
"Foliate-rim_plate,_Jun_ware",ca. 13th century
Bowl,18th century
Bowl,18th century
"Quatrefoil_vase,_Jun_ware",possibly 18th century
Small_covered_wine_pot_or_teapot,1662–1722
"Two-eared_jar,_Jun_ware",ca. 13th century
Vase:_Qingbai_Shufu-type_ware_(pair_with_1975.1.1670),14th century
Vase:_Qingbai_Shufu-type_ware_(pair_with_1975.1.1669),14th century
Censer,19th to early 20th century
Amphora_vase,1662–1722
Water_pot,1662–1722
Covered_ewer,probably 19th century
"Plate,_Jun_ware",13th–14th century
"Plate,_Jun_ware",12th–13th century
Small_covered_wine_pot_or_teapot,1662–1722
Small_vase,19th century
"Shallow_dish,_Jun-type_ware",late 14th to early 15th century
"Two-eared_jar,_Jun_ware",ca. 13th century
"Shallow_dish,_Jun_ware",11th–12th century
"Deep_bowl,_Jun_ware",13th–14th century
Covered_teapot_or_wine_pot_(pair_with_1975.1.1704),1662–1722
"Miniature_incense_burner,_Jun_ware",13th–14th century
Plate,12th–13th century
"Deep_bowl,_Jun_ware",13th–14th century
Small_stemcup,ca. second half of the 17th century
Dish,1821–50
"Deep_bowl,_Jun_ware",13th–14th century
Club-shaped_vase,1662–1722
Small_covered_wine_pot_or_teapot,1662–1722
Peach-shaped_wine_pot_or_teapot,ca. late 17th century
Club-shaped_vase,1662–1722
Covered_teapot_or_wine_pot_(pair_with_1975.1.1705),1662–1722
Covered_wine_pot_or_teapot,1662–1722
Peach-shaped_wine_pot_or_teapot,probably 18th century
Small_covered_wine_pot_or_teapot,1662–1722
Hexagonal_wine_pot_or_teapot,late 18th century
Water_pot,1662–1722
"Small_bowl,_Jun_ware",12th–13th century
Peach-shaped_wine_pot_or_tea_pot_(pair_with_1975.1.1721),probably 18th century
"Miniature_incense_burner,_Jun_ware",12th–13th century
"Phoenix-head_ewer,_Tang_sancai_ware",late 7th century–first half 8th century
Ewer,1662–1722
Small_covered_winepot_or_teapot_(similar_to_1975.1.1714-15_and_1975.1.1717),1662–1772
Ewer,1662–1722
Small_covered_winepot_or_teapot_(similar_to_1975.1.1714-16),1662–1772
Small_covered_wine_pot_or_teapot,1662–1722
Hexagonal_teapot_or_winepot_(pair_with_1975.1.1706),late 18th century
Covered_wine_pot_or_teapot,1662–1722
Covered_teapot_or_winepot_(pair_with_1975.1.1702),1662–1722
covered_teapot_or_wine_pot_(pair_with_1975.1.1703),1662–1722
Peach-shaped_wine_pot_or_teapot_(pair_with_1975.1.1722),probably 18th century
Deep_bowl,13th–14th century
Covered_ewer,ca. 1644–83
Peach-Shaped_Wine_Pot_or_Tea_Pot,ca. 1644–83
Panel_(see_also_1975.1.1932),late 19th–early 20th century
"Wine_jar_(Guan),_Cizhou_ware",late 13th–early 14th century
"Small_covered_winepot_or_teapot_(similar_to_1975.1.1714,_and_1975.1.16-17)",1662–1772
Vase,probably 19th century
Panel_(see_also_1975.1.1933),late 19th to early 20th century
Twelve_animals_of_the_Chinese_zodiac,18th–19th century
Bow,19th century
"Small_incense_burner,_'Ma_Jun'_or_'Soft_Jun'_ware",13th–14th century (or later)
Tánggǔ_(堂鼓),19th century
Teapot_(a)_and_saucer_(b),ca. 1740 (teapot); late 18th century (saucer)
"Bulb_bowl,_Numbered_Jun_ware",13th–14th century
Dizi,late 18th–early 19th century
Chairman_Mao,1964
Wine_warmer_(Jue),ca. 16th century BCE
E-pa,2017
Snaffle_Bit,ca. 250 BCE
Soup_Plate,1736–95
Soup_Plate,1736–95
Figure_of_a_European_Merchant,1719
Soup_Plate,1736–95
Soup_Plate,1736–95
Soup_Plate,1736–95
Sword_(Ral_gri),14th–16th century
Se_(瑟_),19th century
Xiao,18th or 19th centuries
Sanxian_(三弦_),19th century
Covered_Punch_Bowl,1745–55
Teapot,1730–70
Sanxian_(三弦_),ca. 1900
Saying_of_Confucius,ca. 1955
Pickle_Dish,ca. 1785
Cup,ca. 1790
Bulb_Pot,1700–1900
Covered_Urn,ca. 1800
Water_basin,1800–1810
Ewer,1800–1810
Saucer,ca. 1820
Covered_Toddy_Jug,1792–96
Cup,1785–90
Plate,ca. 1795
Tea_Caddy,1775–1800
Cup,1736–95
Guglet,1700–1799
Cream_Pitcher,1770–1800
Plate,ca. 1786
Platter,1800–1830
Punch_Bowl,1770–1800
Porringer,1735–40
Punch_Bowl,1785–1800
Platter,1800–1830
Platter,1800–1830
Saucer,1785–1805
Vase,1700–1800
Saucer,1785–1805
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Saucer,1735–96
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Plate,1800–1830
Meat_Platter,1800–1830
Jardiniere,1700–1800
Bowl,1825–40
Jardiniere,1700–1800
Hot_Water_Plate,1800–1830
Jardiniere,1700–1800
Dish,1800–1815
Plate,1800–1830
Dish,1800–1815
Flower_Pot,1770–1800
Flower_Pot,1770–1800
Dish,1780–90
Creamer,1800–1815
Cup,1735–96
Covered_Vase,1770–1800
Covered_Vase,1770–1800
Cup,1785–1805
Jardiniere,1800–1900
Platter,1800–1900
Bowl,1800–1900
Vase,1800–1900
Creamer,1785–1805
Teapot,1720–35
Bowl,1736–95
Candlestick,1800–1900
Candlestick,1800–1900
Candlestick,1800–1900
Bowl,1770–1800
Jardiniere,1800–1900
Bowl,1800–1900
Jardiniere,1700–1800
Saucer,1770–1830
Cup,1785–1805
Cup,1785–1805
Saucer,ca. 1790
Basin,1825–45
Slop_Bowl,1800–1815
Soup_Plate,1800–1830
Portrait_of_Houqua,ca. 1840s
Soup_Plate,1800–1830
Soup_Dish,1770–1830
Plate,1730–70
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Tea_Caddy,ca. 1790–1800
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Soup_Plate,1800–1830
Tea_Caddy,1800–1815
Teapot,1770–1830
Teapot,1800–1815
Hot_Water_Plate,1800–1830
Hot_Water_Plate,1800–1830
Hot_Water_Plate,1800–1830
Hot_Water_Plate,1800–1830
Covered_Hot_Water_Platter,1800–1900
Hot_Water_Plate,1800–1830
Cup_and_Saucer,1853–57
Coffeepot,1800–1815
Cream_Pitcher,1770–1800
Sugar_Bowl,1800–1815
Cup_and_Saucer,1800–1815
Covered_Urn,1785–1815
Baluster_Vase,1800–1900
Teapot,1785–1805
Tea_Caddy,1770–1830
Platter_and_Rack,1800–1830
Vase,1800–1900
Teapot,1770–1800
Teapot,1770–1830
Soup_Tureen,1750–70
Coffee_Cup,ca. 1784
Covered_Vase,1770–95
Coffeepot,1800–1830
Covered_Vase,1770–95
Covered_Sugar_Bowl,1770–1830
Covered_Sugar_Bowl,ca. 1790
Covered_Vase,1790–1800
Covered_Vase,1800–1900
Cream_Pitcher,ca. 1784
Covered_Vase,1800–1900
Cream_Pitcher,ca. 1784
Cup,1770–1800
Bowl,ca. 1785–90
Baluster_Vase,1800–1900
Jardiniere,1800–1900
Baluster_Vase,1800–1900
Beaker_Vase,1800–1900
Beaker_Vase,1800–1900
Covered_Hot_Water_Platter,1800–1900
Bottle,1825–45
Covered_Urn,1785–1815
Cup_and_Saucer,1800–1815
Saucer,1770–1800
Mug,1800–1810
Nutmeg_Grater,1800–1900
Cup,1736–95
Tray,ca. 1800
Monteith,1700–1720
Platter,1736–95
Platter,1736–95
Guqin_(古琴_),late 17th–mid 18th century
Cup,1736–95
Zhajiao,19th century
Zhajiao_(Trumpet),mid 19th–late 19th century
Lapa_(Trumpet),late 19th century
Rkang-Gling,early 19th century
Cup,1736–95
Covered_Vase,ca. 1800
Covered_Vase,ca. 1800
Da_Tongjiao_(Trumpet),late 19th century
Covered_Vase,ca. 1800
Cup,1736–95
Bowl,1736–95
Bowl,1736–95
Cup,1736–95
Cup,1736–95
Bowl,1736–95
Vase,ca. 1800
Bowl,1736–95
Dish,1736–95
Pipa_(琵琶_),19th century
Bowl,1736–95
Dung_Chen,1368–1644
Vase,1770–95
Hearth_Jar,1750–90
Covered_Vase,1785–1815
Covered_Vase,1785–1815
Sheng_(_笙_),ca. 1850–89
Covered_Vase,1736–95
Pipa_(琵琶_),late 19th–early 20th century
Xiao,18th–19th century
Yangqin_(揚琴_),19th century
Guanzi_(管子_),19th century
Suona_(嗩吶_),19th century
"""Xiangpu’s_Treasure""_Guqin_(古琴_)",mid 19th century
Dizi_(笛子_),late 19th century
Huqin,19th century
Teapot,late 19th century
Sugar_bowl,late 19th century
"Yunluo_(雲鑼_)""Cloud_Gong""",19th century
Cream_jug,late 19th century
Sihu_(四胡_),19th century
Two-handled_tray,late 19th century
Teakettle_and_spirit_lamp_with_stand,late 19th century
Xie_Zhiliuyin,20th century
Zhuangmu_Tang,20th century
Flower_Basket,ca. 1700–1750
Flowering_Branches,未知年代
After_Rain,1983
Xieyin_Zhiliu,20th century
Storm_on_the_Embankment,1980
Professor_Selling_his_Books,20th century
Landscape,Dated 1599 (or 1659)
Chinese_Poem_on_Zen_Meditation,mid-17th century
Fruit_Plate,ca. 1700–1750
Jug_with_Portuguese_arms,ca. 1520–40
Piece,late 18th century
Plate,ca. 1723–35
Punch_bowl,ca. 1760
Length_of_painted_silk,mid-18th century
"Dish_with_IHS_monogram,_armillary_sphere,_and_Portuguese_royal_arms",ca. 1520–40
Platter,1800–1830
Platter,1791
Bowl,1770–1800
Platter,1800–1830
Bulb_pot,18th century
Saucer,1785–1805
Plate,1730–1800
Planter_with_the_Johnson_coat_of_arms,ca. 1693–97
Covered_Jug,1790–1810
Soup_Plate,1800–1830
Covered_Jug,1790–1810
Covered_Jug,1790–1810
Punch_bowl,ca. 1782–85
Covered_jug,1790–1810
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Cup_and_Saucer,1800–1815
Dagger-Ax_(Ge),3rd century BCE
Jardiniere,1800–1900
Jardiniere,1800–1900
Dish,ca. 1720
Dish,ca. 1736–38
Monteith,ca. 1715–20
Dish_(part_of_a_service),ca. 1737
Teapot_with_armorial_decoration_(part_of_a_service),1750–60
Dish_(part_of_a_service),early 19th century
Platter_(part_of_a_service),early 19th century
Sword_Guard,14th–15th century
Inkstand,1750–70
Tea_caddy_with_cover_with_armorial_decoration_(part_of_a_service),1750–60
Tea_caddy_with_cover_with_armorial_decoration_(part_of_a_service),1750–60
Teapot,ca. 1770
Plate,1739–43
Beaker_and_saucer,ca. 1700
Cup_and_saucer,early 18th century
Tureen_with_cover_(part_of_a_service),early 19th century
"Chinese_zodiac_figure,_snake",13th century
Calligraphy_Couplet,19th century
Dish,late 17th century
Woman_with_a_pipe,ca. 1760–80
Dish,1700–1725
Cymbal_Case_with_Set_of_Cymbals,late 17th century
Punch_bowl,1785–1800
Teapot_with_portrait_of_a_woman,1750–70
Saucer_(part_of_a_service),1750–70
Lorgnette_Fan_with_Scene_of_Figures_in_a_Courtyard_Garden,mid-18th century
Deep_dish_(part_of_a_service),1750–70
Cup_(part_of_a_service),1750–70
Cup_(part_of_a_service),1750–70
The_Astor_Chinese_Garden_Court,17th century style
Teapot_with_portrait_of_a_woman_(part_of_a_service),1750–70
Creamer_with_cover_(part_of_a_service),1750–70
Bowl_(part_of_a_service),1750–70
Saucer_(part_of_a_service),1750–70
Plate,1765–70
Bow_Case_and_Quiver,19th century
Plate,1765–70
Dish,ca. 1735
Fire-offering_ladle,未知年代
Plate,1765–70
Cymbal_Case,late 17th century
Platter,1765–70
Plate,1765–70
Plate,ca. 1800–1810
Punch_Bowl,1785–1800
Dinner_Plate,ca. 1796–1810
Plate,1765–70
Vase_from_sample_set_of_Chinese_cloisonné,late 19th century
Toddy_Jug,1800–1820
Plate_(one_of_a_pair),mid-18th century
Vase_from_sample_set_of_Chinese_cloisonné,late 19th century
Trackers_along_the_Jialing_River,1940s
Vase_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Coverlet_or_Wall_Hanging,ca. 1700–1800
Plate,ca. 1785
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Plate,1736–95
Plate,ca. 1765–70
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Vase_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Fragment_from_sample_set_of_Chinese_cloisonné,late 19th century
Guqin_(古琴_),early 21st century
Saucer,ca. 1795
Punch_Bowl,ca. 1790
Plate,1700–1800
Soup_Tureen,ca. 1865
Plate,1800–1900
Dressing_Glass,1790–1800
Platter,1800–1810
Saucer,1785–90
Covered_Sauce_Tureen,ca. 1786
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Plate,1785–90
Soup_Plate,1785–90
Plate,1785–90
Plate,1785–90
